,channel,raw_top_r,raw_top_rho,raw_btm_r,raw_btm_rho,raw_comb_r,raw_comb_rho,raw_SAM_y_r,raw_SAM_y_rho,raw_SAM_e_r,raw_SAM_e_rho,raw_SAM_i_r,raw_SAM_i_rho,raw_top_r_pval,raw_top_rho_pval,raw_btm_r_pval,raw_btm_rho_pval,raw_comb_r_pval,raw_comb_rho_pval,raw_SAM_y_r_pval,raw_SAM_y_rho_pval,raw_SAM_e_r_pval,raw_SAM_e_rho_pval,raw_SAM_i_r_pval,raw_SAM_i_rho_pval
0,LMEG10-LMEG9,0.1008975782580324,0.0513232148677143,0.0411601476935219,0.0427560936249749,0.0950534106467302,0.0877841228454596,0.0956277642517259,0.0887882922221267,0.0017495903984153,0.006801256256201,-0.0595397090672147,-0.0639036789605886,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.799,0.97,0.994,1.0,1.0
1,LMEG11-LMEG10,0.0358788642997243,0.0120417120066739,0.0045778993603064,0.0018158272345323,0.0278485216939852,0.0299075560172089,0.0859051037623288,0.0760813193090111,-0.0028702025960238,0.007778381276541,-0.0407537343638435,-0.0472598706015793,0.0,0.0,1.0,0.999,0.0,0.001,0.0,0.0,0.961,0.0,0.0,0.0
2,LMEG12-LMEG11,0.0451238160946734,0.0202051923528307,0.016381457482757,0.0209014267042282,0.0561913270456088,0.040431581509053,0.0311212392063895,0.0331074116331858,-0.0015973076023476,-0.0124308169649307,-0.0103603629912445,-0.0149600402816064,0.0,0.0,0.013,0.001,0.0,0.0,0.114,0.019,0.319,0.0,0.982,1.0
3,LMEG13-LMEG12,-0.0757706608966289,-0.0802249387879902,0.0080721048566667,0.0043792081246733,-0.0530877856549231,-0.058120531283285,-0.0498149234370995,-0.0486330809332929,-0.0072168942251135,-0.0167593247934919,0.0658954844545947,0.0731973989755838,0.004,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,LMEG14-LMEG13,-0.0823169935765715,-0.0517965018554403,-0.0324665261682789,-0.0177234951877592,-0.0732111710559682,-0.0587049839847974,-0.0816257674146282,-0.0797296555087448,0.0146611612189637,-0.0018608120737299,0.0588927376647271,0.071891543790647,0.0,0.005,0.0,0.022,0.0,0.0,0.001,0.073,0.0,0.596,1.0,0.612
5,LMEG15-LMEG14,-0.1159064840454806,-0.0771131766261082,-0.0337744706199228,-0.0276456543433047,-0.1002200851332211,-0.0846962424153988,-0.070287964042295,-0.0737777735964437,0.017533529158533,0.0148757184761149,0.0522480958398055,0.0782297528047604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
6,LMEG16-LMEG15,-0.0527853008373708,-0.0559160460665673,-0.0038650466277609,-0.0088536083285773,-0.0419642531512961,-0.0357895537583286,-0.0260769392959257,-0.0327050993768159,0.0014597355059659,-0.0015553238968518,0.0347651841919314,0.0387575201852032,0.0,0.26,0.999,0.762,0.0,0.805,0.0,0.0,0.995,0.0,0.0,0.0
7,LMEG2-LMEG1,-0.0054687418035312,-0.0087526838964294,0.0097992100036481,0.008944406679105,0.0001708864838265,-0.0144217589794814,0.0489706595662465,0.0252612919778067,-0.005198265215672,0.0019879998060799,-0.0108575321857582,-0.0034627451300392,0.0,0.042,1.0,0.8,1.0,0.0,0.0,0.08,0.0,0.888,0.654,0.928
8,LMEG3-LMEG2,0.1530385729679913,0.1623112241777959,-0.0544181424064516,-0.0488594904415184,0.0916895044845745,0.073214731202357,0.0613264607654726,0.0687165360506457,0.0368253435740087,0.053509844081575,-0.139598103735704,-0.1265076789932286,0.0,0.06,0.962,0.306,0.0,0.0,0.0,0.0,0.872,0.003,0.0,0.0
9,LMEG4-LMEG3,-0.0421998623286084,-0.0299161038585766,0.0106276727273611,0.0167197144191543,-0.0185556507918139,-0.010204512864722,-0.0130334775723446,-0.0248088085774093,-0.0002247499845294,-0.0096060272649643,0.0247050882103468,0.0179501658160265,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
